id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-0011-4,11,Factura de Taller/Clínica,Sí,Sí,2025-01-07,No,
DOC-0011-5,11,Formulario de Reclamo,Sí,Sí,2025-01-07,No,
DOC-0012-1,12,Copia de Cédula,Sí,Sí,2025-02-13,No,
DOC-0012-2,12,Denuncia Fiscalía,Sí,Sí,2025-02-17,No,
DOC-0012-3,12,Informe Policial,Sí,Sí,2025-02-16,No,
DOC-0012-4,12,Factura de Taller/Clínica,Sí,Sí,2025-02-13,No,
DOC-0012-5,12,Formulario de Reclamo,Sí,Sí,2025-02-13,No,
DOC-0013-1,13,Copia de Cédula,Sí,Sí,2025-01-24,No,
DOC-0013-2,13,Denuncia Fiscalía,Sí,Sí,2025-01-23,No,
DOC-0013-3,13,Informe Policial,Sí,Sí,2025-01-20,No,
DOC-0013-4,13,Factura de Taller/Clínica,Sí,Sí,2025-01-22,No,
DOC-0013-5,13,Formulario de Reclamo,Sí,Sí,2025-01-22,No,
DOC-0014-1,14,Copia de Cédula,Sí,Sí,2025-01-07,No,
DOC-0014-2,14,Denuncia Fiscalía,Sí,Sí,2025-01-10,No,
DOC-0014-3,14,Informe Policial,Sí,Sí,2025-01-09,No,
DOC-0014-4,14,Factura de Taller/Clínica,Sí,Sí,2025-01-09,No,
DOC-0014-5,14,Formulario de Reclamo,Sí,Sí,2025-01-09,No,
DOC-0015-1,15,Copia de Cédula,Sí,Sí,2025-01-17,No,
DOC-0015-2,15,Denuncia Fiscalía,Sí,Sí,2025-01-13,No,
DOC-0015-3,15,Informe Policial,Sí,Sí,2025-01-17,No,
DOC-0015-4,15,Factura de Taller/Clínica,Sí,Sí,2025-01-16,No,
DOC-0015-5,15,Formulario de Reclamo,Sí,Sí,2025-01-13,No,
DOC-0016-1,16,Copia de Cédula,Sí,Sí,2025-01-27,No,
DOC-0016-2,16,Denuncia Fiscalía,Sí,Sí,2025-01-29,No,
DOC-0016-3,16,Informe Policial,Sí,Sí,2025-01-29,No,
DOC-0016-4,16,Factura de Taller/Clínica,Sí,Sí,2025-01-28,No,
DOC-0016-5,16,Formulario de Reclamo,Sí,Sí,2025-01-30,No,
DOC-0017-1,17,Copia de Cédula,Sí,Sí,2025-02-24,No,
DOC-0017-2,17,Denuncia Fiscalía,Sí,Sí,2025-02-24,No,
DOC-0017-3,17,Informe Policial,Sí,Sí,2025-02-21,No,
DOC-0017-4,17,Factura de Taller/Clínica,Sí,Sí,2025-02-23,No,
DOC-0017-5,17,Formulario de Reclamo,Sí,Sí,2025-02-24,No,
DOC-0018-1,18,Copia de Cédula,Sí,Sí,2025-01-08,No,
DOC-0018-2,18,Denuncia Fiscalía,Sí,Sí,2025-01-05,No,
DOC-0018-3,18,Informe Policial,Sí,Sí,2025-01-06,No,
DOC-0018-4,18,Factura de Taller/Clínica,Sí,Sí,2025-01-08,No,
DOC-0018-5,18,Formulario de Reclamo,Sí,Sí,2025-01-07,No,
DOC-0019-1,19,Copia de Cédula,Sí,Sí,2025-01-17,No,
DOC-0019-2,19,Denuncia Fiscalía,Sí,Sí,2025-01-17,No,
DOC-0019-3,19,Informe Policial,Sí,Sí,2025-01-20,No,
DOC-0019-4,19,Factura de Taller/Clínica,Sí,Sí,2025-01-19,No,
DOC-0019-5,19,Formulario de Reclamo,Sí,Sí,2025-01-21,No,
DOC-0020-1,20,Copia de Cédula,Sí,Sí,2025-02-24,No,
DOC-0020-2,20,Denuncia Fiscalía,Sí,Sí,2025-02-24,No,
DOC-0020-3,20,Informe Policial,Sí,Sí,2025-02-22,No,
DOC-0020-4,20,Factura de Taller/Clínica,Sí,Sí,2025-02-22,No,
DOC-0020-5,20,Formulario de Reclamo,Sí,Sí,2025-02-22,No,
DOC-0021-1,21,Copia de Cédula,Sí,Sí,2024-12-30,No,
DOC-0021-2,21,Denuncia Fiscalía,Sí,Sí,2025-01-03,No,
DOC-0021-3,21,Informe Policial,Sí,Sí,2025-01-02,No,
DOC-0021-4,21,Factura de Taller/Clínica,Sí,Sí,2024-12-30,No,
DOC-0021-5,21,Formulario de Reclamo,Sí,Sí,2024-12-30,No,
DOC-0022-1,22,Copia de Cédula,Sí,Sí,2025-02-11,No,
DOC-0022-2,22,Denuncia Fiscalía,Sí,Sí,2025-02-09,No,
DOC-0022-3,22,Informe Policial,Sí,Sí,2025-02-08,No,
DOC-0022-4,22,Factura de Taller/Clínica,Sí,Sí,2025-02-08,No,
DOC-0022-5,22,Formulario de Reclamo,Sí,Sí,2025-02-11,No,
DOC-0023-1,23,Copia de Cédula,Sí,Sí,2025-01-11,No,
DOC-0023-2,23,Denuncia Fiscalía,Sí,Sí,2025-01-12,No,
DOC-0023-3,23,Informe Policial,Sí,Sí,2025-01-10,No,
DOC-0023-4,23,Factura de Taller/Clínica,Sí,Sí,2025-01-13,No,
DOC-0023-5,23,Formulario de Reclamo,Sí,Sí,2025-01-13,No,
DOC-0024-1,24,Copia de Cédula,Sí,Sí,2025-01-19,No,
DOC-0024-2,24,Denuncia Fiscalía,Sí,Sí,2025-01-20,No,
DOC-0024-3,24,Informe Policial,Sí,Sí,2025-01-21,No,
DOC-0024-4,24,Factura de Taller/Clínica,Sí,Sí,2025-01-19,No,
DOC-0024-5,24,Formulario de Reclamo,Sí,Sí,2025-01-17,No,
DOC-0025-1,25,Copia de Cédula,Sí,Sí,2025-02-23,No,
DOC-0025-2,25,Denuncia Fiscalía,Sí,Sí,2025-02-25,No,
DOC-0025-3,25,Informe Policial,Sí,Sí,2025-02-22,No,
DOC-0025-4,25,Factura de Taller/Clínica,Sí,Sí,2025-02-23,No,
DOC-0025-5,25,Formulario de Reclamo,Sí,Sí,2025-02-23,No,
DOC-0026-1,26,Copia de Cédula,Sí,Sí,2025-01-10,No,
DOC-0026-2,26,Denuncia Fiscalía,Sí,Sí,2025-01-07,No,
DOC-0026-3,26,Informe Policial,Sí,Sí,2025-01-07,No,
DOC-0026-4,26,Factura de Taller/Clínica,Sí,Sí,2025-01-07,No,
DOC-0026-5,26,Formulario de Reclamo,Sí,Sí,2025-01-07,No,
DOC-0027-1,27,Copia de Cédula,Sí,Sí,2025-01-29,No,
DOC-0027-2,27,Denuncia Fiscalía,Sí,Sí,2025-01-29,No,
DOC-0027-3,27,Informe Policial,Sí,Sí,2025-01-29,No,
DOC-0027-4,27,Factura de Taller/Clínica,Sí,Sí,2025-01-29,No,
DOC-0027-5,27,Formulario de Reclamo,Sí,Sí,2025-01-30,No,
DOC-0028-1,28,Copia de Cédula,Sí,Sí,2025-01-05,No,
DOC-0028-2,28,Denuncia Fiscalía,Sí,Sí,2025-01-09,No,
DOC-0028-3,28,Informe Policial,Sí,Sí,2025-01-07,No,
DOC-0028-4,28,Factura de Taller/Clínica,Sí,Sí,2025-01-09,No,
DOC-0028-5,28,Formulario de Reclamo,Sí,Sí,2025-01-06,No,
DOC-0029-1,29,Copia de Cédula,Sí,Sí,2025-01-07,No,
DOC-0029-2,29,Denuncia Fiscalía,Sí,Sí,2025-01-06,No,
DOC-0029-3,29,Informe Policial,Sí,Sí,2025-01-08,No,
DOC-0029-4,29,Factura de Taller/Clínica,Sí,Sí,2025-01-07,No,
DOC-0029-5,29,Formulario de Reclamo,Sí,Sí,2025-01-09,No,
DOC-0030-1,30,Copia de Cédula,Sí,Sí,2025-02-14,No,
DOC-0030-2,30,Denuncia Fiscalía,Sí,Sí,2025-02-16,No,
DOC-0030-3,30,Informe Policial,Sí,Sí,2025-02-15,No,
DOC-0030-4,30,Factura de Taller/Clínica,Sí,Sí,2025-02-16,No,
DOC-0030-5,30,Formulario de Reclamo,Sí,Sí,2025-02-14,No,
DOC-0031-1,31,Copia de Cédula,Sí,Sí,2025-01-17,No,
DOC-0031-2,31,Denuncia Fiscalía,Sí,Sí,2025-01-17,No,
DOC-0031-3,31,Informe Policial,Sí,Sí,2025-01-18,No,
DOC-0031-4,31,Factura de Taller/Clínica,Sí,Sí,2025-01-17,No,
DOC-0031-5,31,Formulario de Reclamo,Sí,Sí,2025-01-18,No,
DOC-0032-1,32,Copia de Cédula,Sí,Sí,2025-02-26,No,
DOC-0032-2,32,Denuncia Fiscalía,No,No,,No,
DOC-0032-3,32,Informe Policial,No,No,,No,
DOC-0032-4,32,Factura de Taller/Clínica,Sí,Sí,2025-02-28,No,
DOC-0032-5,32,Formulario de Reclamo,Sí,Sí,2025-02-27,No,
DOC-0033-1,33,Copia de Cédula,Sí,Sí,2025-02-25,No,
DOC-0033-2,33,Denuncia Fiscalía,Sí,Sí,2025-02-26,No,
DOC-0033-3,33,Informe Policial,Sí,Sí,2025-02-22,No,
DOC-0033-4,33,Factura de Taller/Clínica,Sí,Sí,2025-02-23,No,
DOC-0033-5,33,Formulario de Reclamo,Sí,Sí,2025-02-26,No,
DOC-0034-1,34,Copia de Cédula,Sí,Sí,2025-01-08,No,
DOC-0034-2,34,Denuncia Fiscalía,Sí,Sí,2025-01-10,No,
DOC-0034-3,34,Informe Policial,Sí,Sí,2025-01-08,No,
DOC-0034-4,34,Factura de Taller/Clínica,Sí,Sí,2025-01-10,No,
DOC-0034-5,34,Formulario de Reclamo,Sí,Sí,2025-01-08,No,
DOC-0035-1,35,Copia de Cédula,Sí,Sí,2025-02-13,No,
DOC-0035-2,35,Denuncia Fiscalía,Sí,Sí,2025-02-12,No,
DOC-0035-3,35,Informe Policial,Sí,Sí,2025-02-13,No,
DOC-0035-4,35,Factura de Taller/Clínica,Sí,Sí,2025-02-12,No,
DOC-0035-5,35,Formulario de Reclamo,Sí,Sí,2025-02-12,No,
DOC-0036-1,36,Copia de Cédula,Sí,Sí,2025-01-24,No,
DOC-0036-2,36,Denuncia Fiscalía,Sí,Sí,2025-01-26,No,
DOC-0036-3,36,Informe Policial,Sí,Sí,2025-01-26,No,
DOC-0036-4,36,Factura de Taller/Clínica,Sí,Sí,2025-01-22,No,
DOC-0036-5,36,Formulario de Reclamo,Sí,Sí,2025-01-24,No,
DOC-0037-1,37,Copia de Cédula,Sí,Sí,2025-01-10,No,
DOC-0037-2,37,Denuncia Fiscalía,No,No,,No,
DOC-0037-3,37,Informe Policial,Sí,Sí,2025-01-10,No,
DOC-0037-4,37,Factura de Taller/Clínica,No,No,,No,
DOC-0037-5,37,Formulario de Reclamo,Sí,Sí,2025-01-09,No,
DOC-0038-1,38,Copia de Cédula,Sí,Sí,2025-01-17,No,
DOC-0038-2,38,Denuncia Fiscalía,Sí,Sí,2025-01-17,No,
DOC-0038-3,38,Informe Policial,Sí,Sí,2025-01-18,No,
DOC-0038-4,38,Factura de Taller/Clínica,Sí,Sí,2025-01-20,No,
DOC-0038-5,38,Formulario de Reclamo,Sí,Sí,2025-01-20,No,
DOC-0039-1,39,Copia de Cédula,Sí,Sí,2025-01-19,No,
DOC-0039-2,39,Denuncia Fiscalía,Sí,Sí,2025-01-23,No,
DOC-0039-3,39,Informe Policial,Sí,Sí,2025-01-22,No,
DOC-0039-4,39,Factura de Taller/Clínica,Sí,Sí,2025-01-19,No,
DOC-0039-5,39,Formulario de Reclamo,Sí,Sí,2025-01-20,No,
DOC-0040-1,40,Copia de Cédula,Sí,Sí,2025-01-07,No,
DOC-0040-2,40,Denuncia Fiscalía,Sí,Sí,2025-01-09,No,
DOC-0040-3,40,Informe Policial,Sí,Sí,2025-01-10,No,
DOC-0040-4,40,Factura de Taller/Clínica,Sí,Sí,2025-01-10,No,
DOC-0040-5,40,Formulario de Reclamo,Sí,Sí,2025-01-09,No,
DOC-0041-1,41,Copia de Cédula,Sí,Sí,2025-01-04,No,
DOC-0041-2,41,Denuncia Fiscalía,Sí,Sí,2025-01-04,No,
DOC-0041-3,41,Informe Policial,Sí,Sí,2025-01-05,No,
DOC-0041-4,41,Factura de Taller/Clínica,Sí,Sí,2025-01-01,No,
DOC-0041-5,41,Formulario de Reclamo,Sí,Sí,2025-01-01,No,
DOC-0042-1,42,Copia de Cédula,Sí,Sí,2024-12-30,No,
DOC-0042-2,42,Denuncia Fiscalía,Sí,Sí,2024-12-31,No,
DOC-0042-3,42,Informe Policial,Sí,Sí,2025-01-02,No,
DOC-0042-4,42,Factura de Taller/Clínica,Sí,Sí,2025-01-03,No,
DOC-0042-5,42,Formulario de Reclamo,Sí,Sí,2025-01-01,No,
DOC-0043-1,43,Copia de Cédula,Sí,Sí,2025-01-14,No,
DOC-0043-2,43,Denuncia Fiscalía,Sí,Sí,2025-01-16,No,
DOC-0043-3,43,Informe Policial,Sí,Sí,2025-01-14,No,
DOC-0043-4,43,Factura de Taller/Clínica,Sí,Sí,2025-01-15,No,
DOC-0043-5,43,Formulario de Reclamo,Sí,Sí,2025-01-16,No,
DOC-0044-1,44,Copia de Cédula,Sí,Sí,2025-02-09,No,
DOC-0044-2,44,Denuncia Fiscalía,Sí,Sí,2025-02-08,No,
DOC-0044-3,44,Informe Policial,Sí,Sí,2025-02-08,No,
DOC-0044-4,44,Factura de Taller/Clínica,Sí,Sí,2025-02-10,No,
DOC-0044-5,44,Formulario de Reclamo,Sí,Sí,2025-02-09,No,
DOC-0045-1,45,Copia de Cédula,Sí,Sí,2025-02-15,No,
DOC-0045-2,45,Denuncia Fiscalía,Sí,Sí,2025-02-12,No,
DOC-0045-3,45,Informe Policial,Sí,Sí,2025-02-16,No,
DOC-0045-4,45,Factura de Taller/Clínica,Sí,Sí,2025-02-12,No,
DOC-0045-5,45,Formulario de Reclamo,Sí,Sí,2025-02-12,No,
DOC-0046-1,46,Copia de Cédula,Sí,Sí,2025-02-20,No,
DOC-0046-2,46,Denuncia Fiscalía,Sí,Sí,2025-02-20,No,
DOC-0046-3,46,Informe Policial,Sí,Sí,2025-02-19,No,
DOC-0046-4,46,Factura de Taller/Clínica,Sí,Sí,2025-02-22,No,
DOC-0046-5,46,Formulario de Reclamo,Sí,Sí,2025-02-23,No,
DOC-0047-1,47,Copia de Cédula,Sí,Sí,2025-02-18,No,
DOC-0047-2,47,Denuncia Fiscalía,Sí,Sí,2025-02-20,No,
DOC-0047-3,47,Informe Policial,Sí,Sí,2025-02-18,No,
DOC-0047-4,47,Factura de Taller/Clínica,Sí,Sí,2025-02-16,No,
DOC-0047-5,47,Formulario de Reclamo,Sí,Sí,2025-02-16,No,
DOC-0048-1,48,Copia de Cédula,Sí,Sí,2025-01-08,No,
DOC-0048-2,48,Denuncia Fiscalía,Sí,Sí,2025-01-11,No,
DOC-0048-3,48,Informe Policial,Sí,Sí,2025-01-12,No,
DOC-0048-4,48,Factura de Taller/Clínica,Sí,Sí,2025-01-09,No,
DOC-0048-5,48,Formulario de Reclamo,Sí,Sí,2025-01-08,Sí,Firma del taller no coincide con la registrada.
DOC-0049-1,49,Copia de Cédula,Sí,Sí,2025-02-25,No,
DOC-0049-2,49,Denuncia Fiscalía,Sí,Sí,2025-02-28,No,
DOC-0049-3,49,Informe Policial,Sí,Sí,2025-02-27,No,
DOC-0049-4,49,Factura de Taller/Clínica,Sí,Sí,2025-02-26,No,
DOC-0049-5,49,Formulario de Reclamo,Sí,Sí,2025-02-25,No,
DOC-0050-1,50,Copia de Cédula,Sí,Sí,2025-01-03,No,
DOC-0050-2,50,Denuncia Fiscalía,Sí,Sí,2025-01-02,No,
DOC-0050-3,50,Informe Policial,Sí,Sí,2025-01-03,No,
DOC-0050-4,50,Factura de Taller/Clínica,Sí,Sí,2025-01-01,No,
DOC-0050-5,50,Formulario de Reclamo,Sí,Sí,2024-12-31,No,
DOC-0051-1,51,Copia de Cédula,Sí,Sí,2025-01-03,No,
DOC-0051-2,51,Denuncia Fiscalía,Sí,Sí,2025-01-02,No,
DOC-0051-3,51,Informe Policial,Sí,Sí,2025-01-02,No,
DOC-0051-4,51,Factura de Taller/Clínica,Sí,Sí,2025-01-02,No,
DOC-0051-5,51,Formulario de Reclamo,Sí,Sí,2025-01-04,No,
DOC-0052-1,52,Copia de Cédula,Sí,Sí,2025-01-18,No,
DOC-0052-2,52,Denuncia Fiscalía,Sí,Sí,2025-01-15,No,
DOC-0052-3,52,Informe Policial,Sí,Sí,2025-01-18,No,
DOC-0052-4,52,Factura de Taller/Clínica,Sí,Sí,2025-01-18,No,
DOC-0052-5,52,Formulario de Reclamo,Sí,Sí,2025-01-15,No,
DOC-0053-1,53,Copia de Cédula,Sí,Sí,2025-02-20,No,
DOC-0053-2,53,Denuncia Fiscalía,Sí,Sí,2025-02-24,No,
DOC-0053-3,53,Informe Policial,Sí,Sí,2025-02-22,No,
DOC-0053-4,53,Factura de Taller/Clínica,Sí,Sí,2025-02-23,No,
DOC-0053-5,53,Formulario de Reclamo,Sí,Sí,2025-02-23,No,
DOC-0054-1,54,Copia de Cédula,Sí,Sí,2025-01-27,No,
DOC-0054-2,54,Denuncia Fiscalía,Sí,Sí,2025-01-29,No,
DOC-0054-3,54,Informe Policial,Sí,Sí,2025-01-28,No,
DOC-0054-4,54,Factura de Taller/Clínica,Sí,Sí,2025-01-27,No,
DOC-0054-5,54,Formulario de Reclamo,Sí,Sí,2025-01-25,No,
DOC-0055-1,55,Copia de Cédula,Sí,Sí,2025-02-25,No,
DOC-0055-2,55,Denuncia Fiscalía,Sí,Sí,2025-02-25,No,
DOC-0055-3,55,Informe Policial,Sí,Sí,2025-02-28,No,
DOC-0055-4,55,Factura de Taller/Clínica,Sí,Sí,2025-02-28,No,
DOC-0055-5,55,Formulario de Reclamo,Sí,Sí,2025-03-01,No,
DOC-0056-1,56,Copia de Cédula,Sí,Sí,2025-01-04,No,
DOC-0056-2,56,Denuncia Fiscalía,Sí,Sí,2025-01-08,No,
DOC-0056-3,56,Informe Policial,Sí,Sí,2025-01-06,No,
DOC-0056-4,56,Factura de Taller/Clínica,Sí,Sí,2025-01-05,No,
DOC-0056-5,56,Formulario de Reclamo,Sí,Sí,2025-01-06,No,
DOC-0057-1,57,Copia de Cédula,Sí,Sí,2025-02-27,No,
DOC-0057-2,57,Denuncia Fiscalía,Sí,Sí,2025-02-27,No,
DOC-0057-3,57,Informe Policial,Sí,Sí,2025-03-01,No,
DOC-0057-4,57,Factura de Taller/Clínica,Sí,Sí,2025-02-27,No,
DOC-0057-5,57,Formulario de Reclamo,Sí,Sí,2025-03-02,No,
DOC-0058-1,58,Copia de Cédula,Sí,Sí,2025-02-20,No,
DOC-0058-2,58,Denuncia Fiscalía,Sí,Sí,2025-02-23,No,
DOC-0058-3,58,Informe Policial,Sí,Sí,2025-02-20,No,
DOC-0058-4,58,Factura de Taller/Clínica,Sí,Sí,2025-02-22,No,
DOC-0058-5,58,Formulario de Reclamo,Sí,Sí,2025-02-20,No,
DOC-0059-1,59,Copia de Cédula,Sí,Sí,2025-01-09,No,
DOC-0059-2,59,Denuncia Fiscalía,Sí,Sí,2025-01-09,No,
DOC-0059-3,59,Informe Policial,Sí,Sí,2025-01-07,No,
DOC-0059-4,59,Factura de Taller/Clínica,Sí,Sí,2025-01-08,No,
DOC-0059-5,59,Formulario de Reclamo,Sí,Sí,2025-01-08,No,
DOC-0060-1,60,Copia de Cédula,Sí,Sí,2025-01-05,No,
DOC-0060-2,60,Denuncia Fiscalía,Sí,Sí,2025-01-04,No,
DOC-0060-3,60,Informe Policial,Sí,Sí,2025-01-08,No,
DOC-0060-4,60,Factura de Taller/Clínica,Sí,Sí,2025-01-04,No,
DOC-0060-5,60,Formulario de Reclamo,Sí,Sí,2025-01-08,No,
DOC-0061-1,61,Copia de Cédula,Sí,Sí,2025-01-09,No,
DOC-0061-2,61,Denuncia Fiscalía,Sí,Sí,2025-01-12,No,
DOC-0061-3,61,Informe Policial,Sí,Sí,2025-01-11,No,
DOC-0061-4,61,Factura de Taller/Clínica,Sí,Sí,2025-01-08,No,
DOC-0061-5,61,Formulario de Reclamo,Sí,Sí,2025-01-10,No,
DOC-0062-1,62,Copia de Cédula,Sí,Sí,2025-02-09,No,
DOC-0062-2,62,Denuncia Fiscalía,Sí,Sí,2025-02-12,No,
DOC-0062-3,62,Informe Policial,Sí,Sí,2025-02-13,No,
DOC-0062-4,62,Factura de Taller/Clínica,Sí,Sí,2025-02-10,No,
DOC-0062-5,62,Formulario de Reclamo,Sí,Sí,2025-02-10,No,
DOC-0063-1,63,Copia de Cédula,Sí,Sí,2025-01-11,No,
DOC-0063-2,63,Denuncia Fiscalía,Sí,Sí,2025-01-14,No,
DOC-0063-3,63,Informe Policial,Sí,Sí,2025-01-13,No,
DOC-0063-4,63,Factura de Taller/Clínica,Sí,Sí,2025-01-10,No,
DOC-0063-5,63,Formulario de Reclamo,Sí,Sí,2025-01-12,No,
DOC-0064-1,64,Copia de Cédula,Sí,Sí,2025-02-04,No,
DOC-0064-2,64,Denuncia Fiscalía,Sí,Sí,2025-02-05,No,
DOC-0064-3,64,Informe Policial,Sí,Sí,2025-02-07,No,
DOC-0064-4,64,Factura de Taller/Clínica,Sí,Sí,2025-02-04,No,
DOC-0064-5,64,Formulario de Reclamo,Sí,Sí,2025-02-08,No,
DOC-0065-1,65,Copia de Cédula,Sí,Sí,2025-01-18,No,
DOC-0065-2,65,Denuncia Fiscalía,Sí,Sí,2025-01-20,No,
DOC-0065-3,65,Informe Policial,Sí,Sí,2025-01-18,No,
DOC-0065-4,65,Factura de Taller/Clínica,Sí,Sí,2025-01-22,No,
DOC-0065-5,65,Formulario de Reclamo,Sí,Sí,2025-01-19,No,
DOC-0066-1,66,Copia de Cédula,Sí,Sí,2025-02-24,No,
DOC-0066-2,66,Denuncia Fiscalía,No,No,,No,
DOC-0066-3,66,Informe Policial,No,No,,No,
DOC-0066-4,66,Factura de Taller/Clínica,No,No,,No,
DOC-0066-5,66,Formulario de Reclamo,Sí,Sí,2025-02-22,No,
DOC-0067-1,67,Copia de Cédula,Sí,Sí,2025-02-01,No,
DOC-0067-2,67,Denuncia Fiscalía,Sí,Sí,2025-01-29,No,
DOC-0067-3,67,Informe Policial,Sí,Sí,2025-01-31,No,
DOC-0067-4,67,Factura de Taller/Clínica,Sí,Sí,2025-01-29,No,
DOC-0067-5,67,Formulario de Reclamo,Sí,Sí,2025-01-28,No,
DOC-0068-1,68,Copia de Cédula,Sí,Sí,2025-02-03,No,
DOC-0068-2,68,Denuncia Fiscalía,Sí,Sí,2025-01-31,No,
DOC-0068-3,68,Informe Policial,Sí,Sí,2025-02-03,No,
DOC-0068-4,68,Factura de Taller/Clínica,Sí,Sí,2025-02-03,No,
DOC-0068-5,68,Formulario de Reclamo,Sí,Sí,2025-02-02,No,
DOC-0069-1,69,Copia de Cédula,Sí,Sí,2025-01-11,No,
DOC-0069-2,69,Denuncia Fiscalía,Sí,Sí,2025-01-11,No,
DOC-0069-3,69,Informe Policial,Sí,Sí,2025-01-10,No,
DOC-0069-4,69,Factura de Taller/Clínica,Sí,Sí,2025-01-12,No,
DOC-0069-5,69,Formulario de Reclamo,Sí,Sí,2025-01-09,No,
DOC-0070-1,70,Copia de Cédula,Sí,Sí,2025-02-26,No,
DOC-0070-2,70,Denuncia Fiscalía,Sí,Sí,2025-02-25,No,
DOC-0070-3,70,Informe Policial,Sí,Sí,2025-02-26,No,
DOC-0070-4,70,Factura de Taller/Clínica,Sí,Sí,2025-03-01,No,
DOC-0070-5,70,Formulario de Reclamo,Sí,Sí,2025-02-26,No,
DOC-0071-1,71,Copia de Cédula,Sí,Sí,2025-02-21,No,
DOC-0071-2,71,Denuncia Fiscalía,No,No,,No,
DOC-0071-3,71,Informe Policial,No,No,,No,
