id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,etiqueta_fraude_simulada,placa_vehiculo,id_proveedor
24,POL-115399,ASEG-100289,Vehículos,Choque,2025-01-16,2025-01-16,98160.0,90915.85,0.0,Cierre Sin Consecuencia,Cuenca,"El conductor declara haber perdido el control de su Dodge RAM a una velocidad aproximada de 10 km/h al esquivar un perro en la calle Av. de las Américas en Cuenca, resultando en una volcadura de campana y daños severos en el techo y laterales. El peritaje técnico preliminar indica que el daño es inconsistente con la velocidad reportada.",Sí,Taller XYZ,365,0,0,0,1,AZS-5254,PROV-115
25,POL-736882,ASEG-100452,Salud,Atención médica,2025-02-21,2025-02-24,1401.7,1052.72,1052.72,Pago Total,Cuenca,"El conductor reporta que al transitar por Av. de las Américas en Cuenca, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del Ford Escape.",Sí,Clínica La Cigüeña Machala,287,78,3,3,0,,PROV-101
26,POL-699044,ASEG-100084,Vehículos,Choque,2025-01-06,2025-01-06,71500.0,62098.19,0.0,Cierre Sin Consecuencia,Cuenca,Se reporta choque frontal severo de Ford Escape contra un objeto fijo en la calle Calle Larga de Cuenca. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Dr. Luis Silva (Perito),0,365,0,0,1,AGI-0379,PROV-111
27,POL-863236,ASEG-100470,Vehículos,Daño material,2025-01-25,2025-01-27,9020.0,6883.69,6883.69,Liquidado,Loja,El asegurado reporta un choque por alcance en la calle Calle 18 de Noviembre de la ciudad de Loja. Su Toyota Camry (2005) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Talleres del Austro,236,129,2,1,0,LBW-4648,PROV-101
28,POL-608513,ASEG-100317,Vehículos,Robo,2025-01-04,2025-01-07,5720.0,4413.56,0.0,Negativa,Cuenca,"El conductor declara haber perdido el control de su Suburu Forrestor a una velocidad aproximada de 10 km/h al esquivar un perro en la calle Av. Remigio Crespo en Cuenca, resultando en una volcadura de campana y daños severos en el techo y laterales. El peritaje técnico preliminar indica que el daño es inconsistente con la velocidad reportada.",Sí,Dr. Luis Silva (Perito),113,252,3,2,1,AXD-5346,PROV-111
29,POL-914088,ASEG-100240,Vehículos,Choque,2025-01-05,2025-01-07,69840.0,57531.82,57531.82,Pago Total,Cuenca,El cliente reporta el robo parcial de los accesorios de su Dodge Neon (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Calle Larga de Cuenca.,Sí,Ing. Carlos Mendoza (Perito),164,201,2,3,0,ARD-2850,PROV-110
30,POL-596785,ASEG-100355,Vehículos,Choque,2025-02-12,2025-02-14,91650.0,80030.67,42532.11,Pago Parcial,Loja,El asegurado reporta un choque por alcance en la calle Calle 18 de Noviembre de la ciudad de Loja. Su Accura TL (2011) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Ing. Carlos Mendoza (Perito),186,179,2,3,0,LWX-4966,PROV-110
31,POL-908616,ASEG-100204,Vehículos,Choque,2025-01-15,2025-01-17,75600.0,57814.82,57814.82,Pago Total,Loja,El cliente reporta el robo parcial de los accesorios de su Toyota Corolla (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Av. Manuel Agustín Aguirre de Loja.,Sí,Talleres del Austro,20,345,2,1,0,LDL-6939,PROV-101
32,POL-666333,ASEG-100433,Vehículos,Choque,2025-02-25,2025-02-26,67140.0,50636.9,0.0,Cierre Sin Consecuencia,Azogues,Se reporta choque frontal severo de Ford F150 contra un objeto fijo en la calle Calle 3 de Noviembre de Azogues. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,No,Taller El Chueco,66,299,1,0,1,UYH-2869,PROV-114
33,POL-336614,ASEG-100471,Vehículos,Choque,2025-02-21,2025-02-22,29790.0,24095.24,24095.24,Pago Total,Machala,"El conductor reporta que al transitar por Av. 25 de Junio en Machala, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del BMW 3 Series.",Sí,Dra. María Cabrera (Perito),289,76,1,2,0,OBU-8898,PROV-113
34,POL-584859,ASEG-100198,Vehículos,Choque,2025-01-06,2025-01-09,77110.0,64992.43,44519.47,Pago Parcial,Cuenca,El cliente reporta el robo parcial de los accesorios de su Suburu Impreza (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Av. 12 de Abril de Cuenca.,Sí,Clínica Hospital Municipal Loja,280,85,3,0,0,ASM-2495,PROV-106
35,POL-990493,ASEG-100156,Vehículos,Choque,2025-02-09,2025-02-10,64800.0,51898.7,51898.7,Pago Total,Cuenca,"Se reporta un choque lateral en la intersección de la calle Av. Solano en Cuenca. El conductor de un Audi A3 indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Hospital Santa Inés Cuenca,206,159,1,0,0,AHN-2053,PROV-107
36,POL-129872,ASEG-100195,Vehículos,Choque,2025-01-21,2025-01-23,53100.0,49398.67,0.0,Reserva,Azogues,Se reporta choque frontal severo de Mercedes C300 contra un objeto fijo en la calle Av. 24 de Mayo de Azogues. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Taller XYZ,198,167,2,0,1,UYC-0021,PROV-115
37,POL-200152,ASEG-100421,Salud,Atención médica,2025-01-06,2025-01-06,2968.9,2791.65,0.0,Reserva,Azogues,Se reporta choque frontal severo de Suburu Forrestor contra un objeto fijo en la calle Av. Aurelio Jaramillo de Azogues. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,No,Clínica San Agustín,277,88,0,0,1,,PROV-107
38,POL-933293,ASEG-100071,Vehículos,Daño material,2025-01-15,2025-01-17,5330.0,4530.29,4530.29,Liquidado,Machala,"El conductor reporta que al transitar por Av. Madero Vargas en Machala, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del Suburu Legacy.",Sí,Tecnicentro El Oro,19,346,2,3,0,OFL-7762,PROV-103
39,POL-485664,ASEG-100467,Vehículos,Choque,2025-01-18,2025-01-21,62300.0,49269.39,20963.32,Pago Parcial,Loja,Se reporta la rotura del parabrisas delantero del Jeep Wrangler (2007) por impacto de una piedra lanzada por un camión de carga mientras circulaba por la vía de acceso a Loja. Sin terceras personas lesionadas.,Sí,Ing. Carlos Mendoza (Perito),210,155,3,2,0,LMI-9631,PROV-110
40,POL-982871,ASEG-100101,Vehículos,Choque,2025-01-05,2025-01-07,60170.0,45969.63,0.0,Negativa,Loja,"El conductor declara haber perdido el control de su Nissan Pathfinder a una velocidad aproximada de 10 km/h al esquivar un perro en la calle Av. Orillas del Zamora en Loja, resultando en una volcadura de campana y daños severos en el techo y laterales. El peritaje técnico preliminar indica que el daño es inconsistente con la velocidad reportada.",Sí,Hospital Santa Inés Cuenca,2,363,2,3,1,LWK-1154,PROV-107
41,POL-206213,ASEG-100141,Hogar,Incendio,2024-12-31,2025-01-01,4111.01,3411.51,3411.51,Pago Total,Cuenca,El cliente reporta el robo parcial de los accesorios de su BMW M5 (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Av. de las Américas de Cuenca.,Sí,Otro,243,122,1,0,0,,PROV-101
42,POL-616337,ASEG-100147,Vehículos,Choque,2024-12-29,2024-12-31,97080.0,80868.66,0.0,Negativa,Machala,Se reporta choque frontal severo de BMW X5 contra un objeto fijo en la calle Calle Bolívar de Machala. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Ing. Juan Castro (Perito),104,261,2,0,1,OSC-6081,PROV-112
43,POL-448961,ASEG-100039,Vehículos,Choque,2025-01-13,2025-01-15,51660.0,43404.07,20961.95,Pago Parcial,Loja,El asegurado reporta un choque por alcance en la calle Av. Orillas del Zamora de la ciudad de Loja. Su Dodge RAM (2010) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Clínica San Agustín,224,141,2,0,0,LAQ-6433,PROV-109
44,POL-790442,ASEG-100343,Vehículos,Choque,2025-02-07,2025-02-10,51120.0,39183.98,39183.98,Liquidado,Zamora,"Se reporta un choque lateral en la intersección de la calle Calle Sevilla de Oro en Zamora. El conductor de un Mercedes E400 indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Clínica La Cigüeña Machala,49,316,3,3,0,VDV-8101,PROV-108
45,POL-108844,ASEG-100225,Vehículos,Choque,2025-02-11,2025-02-12,56400.0,52369.52,52369.52,Liquidado,Cuenca,"Se reporta un choque lateral en la intersección de la calle Calle Larga en Cuenca. El conductor de un Toyota Highlander indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Tecnicentro El Oro,32,333,1,3,0,ASV-8678,PROV-103
46,POL-430029,ASEG-100395,Vehículos,Choque,2025-02-18,2025-02-19,55120.0,45470.08,45470.08,Pago Total,Azogues,"Se reporta un choque lateral en la intersección de la calle Calle Bolívar en Azogues. El conductor de un Accura MDX indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Dra. María Cabrera (Perito),142,223,1,1,0,UAA-0860,PROV-113
47,POL-529112,ASEG-100055,Vehículos,Choque,2025-02-15,2025-02-16,77110.0,72241.7,56028.44,Pago Parcial,Azogues,El asegurado reporta un choque por alcance en la calle Av. Aurelio Jaramillo de la ciudad de Azogues. Su Honda Civic (2014) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Clínica Hospital Municipal Loja,121,244,1,2,0,UFJ-1433,PROV-106
48,POL-939631,ASEG-100453,Vehículos,Choque,2025-01-07,2025-01-10,62800.0,56049.39,0.0,Cierre Sin Consecuencia,Cuenca,Se reporta choque frontal severo de Audi A3 contra un objeto fijo en la calle Av. de las Américas de Cuenca. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,No,Dra. María Cabrera (Perito),67,298,3,0,1,ARZ-6368,PROV-113
49,POL-866931,ASEG-100158,Salud,Atención médica,2025-02-23,2025-02-24,273.78,225.84,108.58,Pago Parcial,Azogues,Se reporta la rotura del parabrisas delantero del Volkswagen Passat (1995) por impacto de una piedra lanzada por un camión de carga mientras circulaba por la vía de acceso a Azogues. Sin terceras personas lesionadas.,Sí,Clínica San Agustín,55,310,1,0,0,,PROV-112
50,POL-582011,ASEG-100142,Vehículos,Choque,2024-12-29,2024-12-29,76600.0,69580.07,45868.47,Pago Parcial,Machala,"El conductor reporta que al transitar por Av. Las Palmeras en Machala, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del Mercedes C300.",Sí,Dr. Luis Silva (Perito),281,84,0,3,0,OFT-3209,PROV-111
51,POL-691189,ASEG-100226,Vehículos,Choque,2024-12-31,2025-01-03,81800.0,76951.9,76951.9,Pago Total,Loja,"Se reporta un choque lateral en la intersección de la calle Av. Orillas del Zamora en Loja. El conductor de un Nissan Pathfinder indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Multiservicios Loja Car,50,315,3,0,0,LDE-5725,PROV-102
52,POL-537546,ASEG-100090,Vehículos,Robo,2025-01-14,2025-01-16,7260.0,6850.14,6850.14,Pago Total,Azogues,"El conductor reporta que al transitar por Calle 3 de Noviembre en Azogues, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del BMW M5.",Sí,Autoservicio Cuenca,244,121,2,2,0,UCZ-3145,PROV-105
53,POL-394975,ASEG-100388,Vehículos,Robo,2025-02-19,2025-02-20,4300.0,3849.92,2125.85,Pago Parcial,Loja,"El conductor reporta que al transitar por Calle Bolívar en Loja, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del Toyota Corolla.",Sí,Ing. Carlos Mendoza (Perito),298,67,1,0,0,LHO-4371,PROV-110
54,POL-729634,ASEG-100473,Vehículos,Choque,2025-01-24,2025-01-26,70510.0,59786.15,59786.15,Liquidado,Machala,El cliente reporta el robo parcial de los accesorios de su Suburu Forrestor (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Calle Bolívar de Machala.,Sí,Hospital Santa Inés Cuenca,211,154,2,3,0,OKB-9351,PROV-107
55,POL-282195,ASEG-100333,Vehículos,Daño material,2025-02-24,2025-02-25,2640.0,2232.24,1456.27,Pago Parcial,Cuenca,El asegurado reporta un choque por alcance en la calle Av. Solano de la ciudad de Cuenca. Su Ford F150 (2009) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Hospital Santa Inés Cuenca,139,226,1,1,0,AGL-6269,PROV-107
56,POL-420810,ASEG-100498,Vehículos,Choque,2025-01-03,2025-01-04,78900.0,61791.7,30966.82,Pago Parcial,Azogues,"El conductor reporta que al transitar por Av. 24 de Mayo en Azogues, debido a trabajos en la vía y falta de señalización, cayó en un bache profundo provocando la rotura del neumático delantero derecho y daños en la suspensión del Chevrolet Silverado.",Sí,Clínica San Agustín,231,134,1,3,0,UZR-3348,PROV-109
57,POL-524836,ASEG-100383,Vehículos,Choque,2025-02-25,2025-02-28,56430.0,42394.96,42394.96,Pago Total,Loja,Se reporta la rotura del parabrisas delantero del Honda CRV (2014) por impacto de una piedra lanzada por un camión de carga mientras circulaba por la vía de acceso a Loja. Sin terceras personas lesionadas.,Sí,Ing. Juan Castro (Perito),172,193,3,2,0,LCU-4424,PROV-112
58,POL-307195,ASEG-100485,Vehículos,Daño material,2025-02-19,2025-02-20,2400.0,1896.45,1896.45,Liquidado,Cuenca,"Se reporta un choque lateral en la intersección de la calle Av. Remigio Crespo en Cuenca. El conductor de un Chevrolet Silverado indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Clínica La Cigüeña Machala,110,255,1,1,0,AGX-4668,PROV-108
59,POL-623648,ASEG-100175,Vehículos,Choque,2025-01-04,2025-01-05,65790.0,55726.69,55726.69,Pago Total,Zamora,El asegurado reporta un choque por alcance en la calle Av. Héroes de Paquisha de la ciudad de Zamora. Su Saab 93 (2007) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Ing. Carlos Mendoza (Perito),259,106,1,3,0,VGY-6702,PROV-110
60,POL-485372,ASEG-100387,Vehículos,Choque,2025-01-03,2025-01-06,62920.0,51855.96,41473.26,Pago Parcial,Machala,"Se reporta un choque lateral en la intersección de la calle Av. Las Palmeras en Machala. El conductor de un Ford Escape indica que otro vehículo ignoró la señal de pare, impactando su puerta lateral izquierda. El choque provocó daños de consideración media.",Sí,Ing. Carlos Mendoza (Perito),187,178,3,0,0,ORJ-0331,PROV-110
61,POL-598554,ASEG-100143,Salud,Atención médica,2025-01-07,2025-01-10,2959.93,2786.8,0.0,Reserva,Zamora,"El asegurado reporta que mientras circulaba por la vía principal en condiciones de lluvia, otro vehículo no identificado invadió su carril rozándolo lateralmente y provocando que se saliera de la calzada e impactara contra un poste de alumbrado público. El tercero se dio a la fuga de inmediato.",No,Clínica San Agustín,16,349,3,0,1,,PROV-110
62,POL-303987,ASEG-100310,Vehículos,Choque,2025-02-08,2025-02-09,44280.0,40969.93,40969.93,Liquidado,Machala,El cliente reporta el robo parcial de los accesorios de su Honda Accord (retrovisores y radio) mientras se encontraba estacionado temporalmente frente a un local comercial en la calle Calle Rocafuerte de Machala.,Sí,Ing. Juan Castro (Perito),281,84,1,1,0,ODU-3658,PROV-112
63,POL-343161,ASEG-100108,Vehículos,Choque,2025-01-09,2025-01-09,56300.0,47121.9,47121.9,Liquidado,Machala,El asegurado reporta un choque por alcance en la calle Calle Rocafuerte de la ciudad de Machala. Su BMW M5 (2011) fue impactado en la parte posterior por otro vehículo que no guardó la distancia de seguridad. Daños leves en el parachoques trasero y cajuela.,Sí,Dra. María Cabrera (Perito),69,296,0,2,0,OYI-3276,PROV-113
64,POL-519312,ASEG-100446,Vehículos,Choque,2025-02-03,2025-02-03,68520.0,63862.93,0.0,Cierre Sin Consecuencia,Zamora,Se reporta choque frontal severo de Suburu Legacy contra un objeto fijo en la calle Calle Diego de Vaca de Zamora. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,Sí,Dra. María Cabrera (Perito),208,157,0,3,1,VZL-2221,PROV-113
65,POL-132902,ASEG-100274,Vehículos,Choque,2025-01-17,2025-01-19,59130.0,50494.08,0.0,Cierre Sin Consecuencia,Machala,"El conductor declara haber perdido el control de su Ford Escape a una velocidad aproximada de 10 km/h al esquivar un perro en la calle Calle Rocafuerte en Machala, resultando en una volcadura de campana y daños severos en el techo y laterales. El peritaje técnico preliminar indica que el daño es inconsistente con la velocidad reportada.",Sí,Hospital Santa Inés Cuenca,79,286,2,1,1,ONL-1984,PROV-107
66,POL-332867,ASEG-100253,Vehículos,Choque,2025-02-19,2025-02-19,82320.0,64254.09,0.0,Cierre Sin Consecuencia,Loja,Se reporta choque frontal severo de Dodge Neon contra un objeto fijo en la calle Calle Bolívar de Loja. El conductor indica que se desvió para evitar colisión con otro carro que huyó. No hay registro policial del incidente.,No,Hospital Santa Inés Cuenca,185,180,0,3,1,LYU-8728,PROV-107
