id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-336614,ASEG-100471,Vehículos,2024-05-08,2025-05-08,1088.34,26277.13,1000.0,Agente Directo,Machala,Expirada
POL-584859,ASEG-100198,Vehículos,2024-04-01,2025-04-01,1558.29,21098.13,1000.0,Broker,Cuenca,Expirada
POL-990493,ASEG-100156,Vehículos,2024-07-18,2025-07-18,1415.68,16767.27,500.0,Banca Seguros,Cuenca,Expirada
POL-129872,ASEG-100195,Vehículos,2024-07-07,2025-07-07,1334.15,29877.24,1000.0,Web Aseguradora,Azogues,Expirada
POL-200152,ASEG-100421,Salud,2024-04-04,2025-04-04,988.45,4117.8,1000.0,Banca Seguros,Azogues,Expirada
POL-933293,ASEG-100071,Vehículos,2024-12-27,2025-12-27,1222.48,75217.31,2000.0,Agente Directo,Machala,Expirada
POL-485664,ASEG-100467,Vehículos,2024-06-22,2025-06-22,1155.55,80493.13,2000.0,Broker,Loja,Expirada
POL-982871,ASEG-100101,Vehículos,2025-01-03,2026-01-03,1262.08,11031.44,500.0,Broker,Loja,Expirada
POL-206213,ASEG-100141,Hogar,2024-05-02,2025-05-02,1451.62,6014.87,500.0,Banca Seguros,Cuenca,Expirada
POL-616337,ASEG-100147,Vehículos,2024-09-16,2025-09-16,1737.66,23238.34,500.0,Web Aseguradora,Machala,Expirada
POL-448961,ASEG-100039,Vehículos,2024-06-03,2025-06-03,1475.93,12916.05,500.0,Agente Directo,Loja,Expirada
POL-790442,ASEG-100343,Vehículos,2024-12-20,2025-12-20,538.17,14412.17,500.0,Banca Seguros,Zamora,Expirada
POL-108844,ASEG-100225,Vehículos,2025-01-10,2026-01-10,1081.08,63437.1,2000.0,Web Aseguradora,Cuenca,Expirada
POL-430029,ASEG-100395,Vehículos,2024-09-29,2025-09-29,1454.43,48762.36,1000.0,Agente Directo,Azogues,Expirada
POL-529112,ASEG-100055,Vehículos,2024-10-17,2025-10-17,1240.47,16881.64,500.0,Agente Directo,Azogues,Expirada
POL-939631,ASEG-100453,Vehículos,2024-11-01,2025-11-01,1273.7,59078.02,2000.0,Banca Seguros,Cuenca,Expirada
POL-866931,ASEG-100158,Salud,2024-12-30,2025-12-30,1123.87,373.3,1000.0,Agente Directo,Azogues,Expirada
POL-582011,ASEG-100142,Vehículos,2024-03-23,2025-03-23,1245.89,49651.29,1000.0,Broker,Machala,Expirada
POL-691189,ASEG-100226,Vehículos,2024-11-11,2025-11-11,1326.62,65574.39,2000.0,Banca Seguros,Loja,Expirada
POL-537546,ASEG-100090,Vehículos,2024-05-15,2025-05-15,1073.83,84095.69,2000.0,Broker,Azogues,Expirada
POL-394975,ASEG-100388,Vehículos,2024-04-27,2025-04-27,1530.52,47483.96,1000.0,Agente Directo,Loja,Expirada
POL-729634,ASEG-100473,Vehículos,2024-06-27,2025-06-27,1201.41,16544.47,500.0,Web Aseguradora,Machala,Expirada
POL-282195,ASEG-100333,Vehículos,2024-10-08,2025-10-08,1393.57,45245.48,1000.0,Agente Directo,Cuenca,Expirada
POL-420810,ASEG-100498,Vehículos,2024-05-17,2025-05-17,1276.57,41829.56,1000.0,Agente Directo,Azogues,Expirada
POL-524836,ASEG-100383,Vehículos,2024-09-06,2025-09-06,1082.49,12646.02,500.0,Broker,Loja,Expirada
POL-307195,ASEG-100485,Vehículos,2024-11-01,2025-11-01,1414.74,24983.78,1000.0,Web Aseguradora,Cuenca,Expirada
POL-623648,ASEG-100175,Vehículos,2024-04-20,2025-04-20,1470.06,87507.19,2000.0,Banca Seguros,Zamora,Expirada
POL-485372,ASEG-100387,Vehículos,2024-06-30,2025-06-30,870.63,67415.16,2000.0,Banca Seguros,Machala,Expirada
POL-598554,ASEG-100143,Salud,2024-12-22,2025-12-22,795.23,3660.26,500.0,Web Aseguradora,Zamora,Expirada
POL-303987,ASEG-100310,Vehículos,2024-05-03,2025-05-03,1168.2,25041.59,1000.0,Banca Seguros,Machala,Expirada
POL-343161,ASEG-100108,Vehículos,2024-11-01,2025-11-01,993.51,48545.12,1000.0,Agente Directo,Machala,Expirada
POL-519312,ASEG-100446,Vehículos,2024-07-10,2025-07-10,1848.81,15103.57,500.0,Broker,Zamora,Expirada
POL-132902,ASEG-100274,Vehículos,2024-10-30,2025-10-30,1641.73,67347.07,2000.0,Web Aseguradora,Machala,Expirada
POL-332867,ASEG-100253,Vehículos,2024-08-18,2025-08-18,1362.87,23685.65,500.0,Broker,Loja,Expirada
POL-356590,ASEG-100356,Vehículos,2025-01-25,2026-01-25,1239.22,12934.83,500.0,Agente Directo,Cuenca,Expirada
POL-346002,ASEG-100182,Vehículos,2024-11-16,2025-11-16,835.02,14540.34,500.0,Broker,Zamora,Expirada
POL-500533,ASEG-100323,Vehículos,2024-10-23,2025-10-23,1061.33,37786.37,1000.0,Banca Seguros,Azogues,Expirada
POL-348209,ASEG-100050,Vehículos,2024-07-17,2025-07-17,1279.08,44564.83,1000.0,Agente Directo,Loja,Expirada
POL-486676,ASEG-100002,Vehículos,2024-02-20,2025-02-19,1105.49,14509.0,500.0,Web Aseguradora,Cuenca,Expirada
POL-260845,ASEG-100352,Vehículos,2025-02-05,2026-02-05,1055.53,96684.43,2000.0,Banca Seguros,Cuenca,Expirada
POL-657045,ASEG-100336,Salud,2024-11-07,2025-11-07,895.83,1422.38,1000.0,Web Aseguradora,Cuenca,Expirada
POL-761189,ASEG-100033,Vehículos,2024-08-04,2025-08-04,1632.93,12635.97,500.0,Web Aseguradora,Zamora,Expirada
POL-175177,ASEG-100358,Vehículos,2024-12-23,2025-12-23,1405.99,32079.54,1000.0,Broker,Azogues,Expirada
POL-116700,ASEG-100073,Vehículos,2024-12-01,2025-12-01,1425.54,28604.59,1000.0,Banca Seguros,Loja,Expirada
POL-166264,ASEG-100208,Vehículos,2024-11-18,2025-11-18,1038.09,32719.51,1000.0,Broker,Zamora,Expirada
POL-527945,ASEG-100207,Vehículos,2025-01-27,2026-01-27,1307.11,19137.9,500.0,Banca Seguros,Loja,Expirada
POL-627540,ASEG-100187,Vehículos,2024-12-11,2025-12-11,1489.24,28806.35,1000.0,Broker,Zamora,Expirada
POL-279422,ASEG-100475,Vehículos,2024-04-29,2025-04-29,976.67,17936.45,500.0,Broker,Machala,Expirada
POL-484200,ASEG-100274,Hogar,2024-06-22,2025-06-22,1340.43,9458.51,2000.0,Web Aseguradora,Machala,Expirada
POL-645258,ASEG-100461,Vehículos,2024-04-15,2025-04-15,1267.81,83559.67,2000.0,Banca Seguros,Loja,Expirada
POL-694662,ASEG-100079,Vehículos,2024-09-12,2025-09-12,1234.2,35337.2,1000.0,Broker,Zamora,Expirada
POL-960680,ASEG-100101,Vehículos,2024-04-19,2025-04-19,1318.06,76988.04,2000.0,Agente Directo,Loja,Expirada
POL-498140,ASEG-100358,Salud,2024-12-06,2025-12-06,769.95,1882.44,2000.0,Broker,Azogues,Expirada
POL-498875,ASEG-100129,Vehículos,2024-08-13,2025-08-13,1514.72,76282.83,2000.0,Broker,Azogues,Expirada
POL-798177,ASEG-100454,Vehículos,2024-12-22,2025-12-22,873.64,49689.34,1000.0,Broker,Cuenca,Expirada
POL-614763,ASEG-100214,Vehículos,2024-06-17,2025-06-17,1612.43,20450.59,500.0,Broker,Zamora,Expirada
POL-679370,ASEG-100379,Vehículos,2024-10-20,2025-10-20,1318.24,81803.3,2000.0,Banca Seguros,Azogues,Expirada
POL-958857,ASEG-100151,Vehículos,2025-01-04,2026-01-04,1226.83,29736.86,1000.0,Web Aseguradora,Zamora,Expirada
POL-686816,ASEG-100374,Vehículos,2025-01-29,2026-01-29,1326.44,59455.78,2000.0,Broker,Azogues,Expirada
POL-127754,ASEG-100373,Vehículos,2024-05-25,2025-05-25,1136.83,44322.92,2000.0,Broker,Loja,Expirada
POL-918629,ASEG-100390,Vehículos,2024-12-30,2025-12-30,1322.78,45097.91,2000.0,Broker,Cuenca,Expirada
POL-731450,ASEG-100169,Vehículos,2024-12-25,2025-12-25,1483.25,47365.01,1000.0,Agente Directo,Machala,Expirada
POL-307447,ASEG-100335,Vehículos,2024-11-05,2025-11-05,1515.3,11272.06,500.0,Agente Directo,Machala,Expirada
POL-992145,ASEG-100171,Vehículos,2024-11-19,2025-11-19,1075.18,88643.16,2000.0,Agente Directo,Azogues,Expirada
POL-900628,ASEG-100199,Salud,2025-01-09,2026-01-09,1690.27,1396.83,1000.0,Banca Seguros,Zamora,Expirada
POL-235220,ASEG-100196,Vehículos,2024-09-06,2025-09-06,1352.83,86718.81,2000.0,Broker,Machala,Expirada
POL-740019,ASEG-100060,Vehículos,2024-07-02,2025-07-02,1148.73,22311.96,1000.0,Banca Seguros,Zamora,Expirada
POL-246882,ASEG-100357,Vehículos,2024-07-20,2025-07-20,969.5,31891.72,1000.0,Banca Seguros,Loja,Expirada
POL-797613,ASEG-100156,Hogar,2024-08-20,2025-08-20,1463.82,51862.8,500.0,Agente Directo,Cuenca,Expirada
POL-193442,ASEG-100430,Vehículos,2024-06-02,2025-06-02,1474.17,38095.71,1000.0,Web Aseguradora,Machala,Expirada
POL-389238,ASEG-100054,Vehículos,2024-08-06,2025-08-06,1497.35,14718.7,500.0,Web Aseguradora,Loja,Expirada
POL-760179,ASEG-100099,Vehículos,2024-07-30,2025-07-30,1427.14,31463.35,1000.0,Agente Directo,Cuenca,Expirada
POL-939905,ASEG-100453,Vehículos,2024-10-07,2025-10-07,1495.1,16712.2,500.0,Broker,Cuenca,Expirada
POL-872814,ASEG-100020,Vehículos,2024-11-06,2025-11-06,1141.62,11307.52,500.0,Agente Directo,Loja,Expirada
POL-632627,ASEG-100034,Vehículos,2024-01-12,2025-01-11,1125.37,38590.51,1000.0,Broker,Machala,Expirada
POL-283414,ASEG-100317,Vehículos,2025-02-07,2026-02-07,1207.36,67952.66,2000.0,Banca Seguros,Cuenca,Expirada
POL-163161,ASEG-100393,Salud,2024-05-12,2025-05-12,1338.5,949.26,2000.0,Banca Seguros,Azogues,Expirada
POL-853360,ASEG-100487,Vehículos,2025-01-24,2026-01-24,1074.07,25958.16,1000.0,Banca Seguros,Cuenca,Expirada
POL-776860,ASEG-100287,Vehículos,2024-10-12,2025-10-12,1337.56,16095.8,500.0,Agente Directo,Machala,Expirada
POL-149367,ASEG-100018,Vehículos,2024-09-25,2025-09-25,1298.91,11871.18,500.0,Banca Seguros,Loja,Expirada
POL-395269,ASEG-100234,Vehículos,2024-04-04,2025-04-04,1222.75,23588.24,500.0,Agente Directo,Cuenca,Expirada
POL-981123,ASEG-100477,Vehículos,2024-05-09,2025-05-09,1059.52,48516.54,1000.0,Web Aseguradora,Cuenca,Expirada
POL-143626,ASEG-100400,Vehículos,2024-09-22,2025-09-22,1124.38,71137.79,2000.0,Web Aseguradora,Machala,Expirada
POL-648397,ASEG-100284,Vehículos,2024-06-01,2025-06-01,1110.37,43528.44,1000.0,Web Aseguradora,Azogues,Expirada
POL-154982,ASEG-100362,Vehículos,2025-01-27,2026-01-27,1374.22,88425.84,2000.0,Banca Seguros,Cuenca,Expirada
POL-330591,ASEG-100321,Vehículos,2024-01-17,2025-01-16,1103.58,44414.56,2000.0,Agente Directo,Cuenca,Expirada
POL-319232,ASEG-100437,Vehículos,2024-07-06,2025-07-06,1269.76,71079.7,2000.0,Broker,Machala,Expirada
POL-531640,ASEG-100167,Vehículos,2024-11-30,2025-11-30,964.79,23835.22,500.0,Web Aseguradora,Zamora,Expirada
POL-368050,ASEG-100298,Salud,2024-06-28,2025-06-28,1167.3,4928.76,2000.0,Agente Directo,Azogues,Expirada
POL-253791,ASEG-100180,Vehículos,2025-01-18,2026-01-18,1625.45,11089.6,500.0,Web Aseguradora,Loja,Expirada
POL-155724,ASEG-100033,Vehículos,2025-01-26,2026-01-26,1394.43,16318.56,500.0,Agente Directo,Zamora,Expirada
POL-824540,ASEG-100018,Vehículos,2024-06-29,2025-06-29,1053.24,86476.81,2000.0,Banca Seguros,Loja,Expirada
POL-717392,ASEG-100252,Vehículos,2025-01-02,2026-01-02,1040.75,22184.23,500.0,Agente Directo,Loja,Expirada
POL-965768,ASEG-100484,Vehículos,2024-08-15,2025-08-15,1302.4,46864.31,1000.0,Banca Seguros,Azogues,Expirada
POL-414779,ASEG-100244,Vehículos,2024-04-19,2025-04-19,1588.55,98305.91,2000.0,Agente Directo,Azogues,Expirada
POL-428230,ASEG-100096,Vehículos,2024-10-07,2025-10-07,1399.26,13281.77,500.0,Web Aseguradora,Cuenca,Expirada
POL-517240,ASEG-100399,Vehículos,2025-02-01,2026-02-01,1352.31,55934.72,2000.0,Agente Directo,Cuenca,Expirada
POL-469874,ASEG-100332,Vehículos,2025-01-09,2026-01-09,1139.0,23030.96,1000.0,Broker,Loja,Expirada
POL-718428,ASEG-100326,Vehículos,2025-01-03,2026-01-03,1397.67,29964.66,1000.0,Banca Seguros,Azogues,Expirada
POL-620215,ASEG-100010,Vehículos,2024-11-10,2025-11-10,823.17,18509.0,500.0,Web Aseguradora,Machala,Expirada
POL-618659,ASEG-100396,Salud,2024-06-18,2025-06-18,965.13,2635.76,500.0,Web Aseguradora,Azogues,Expirada
POL-649082,ASEG-100363,Vehículos,2024-11-10,2025-11-10,1922.84,42230.37,1000.0,Banca Seguros,Machala,Expirada
POL-437573,ASEG-100327,Vehículos,2024-04-28,2025-04-28,1624.82,60596.47,2000.0,Agente Directo,Azogues,Expirada
POL-964657,ASEG-100056,Vehículos,2024-10-17,2025-10-17,1277.25,47406.15,2000.0,Banca Seguros,Machala,Expirada
POL-932502,ASEG-100340,Vehículos,2024-10-02,2025-10-02,1439.34,31587.23,1000.0,Banca Seguros,Zamora,Expirada
POL-434507,ASEG-100088,Vehículos,2024-10-10,2025-10-10,1281.27,25501.17,1000.0,Banca Seguros,Azogues,Expirada
POL-935277,ASEG-100257,Vehículos,2024-06-10,2025-06-10,1348.83,17683.1,500.0,Broker,Cuenca,Expirada
POL-756054,ASEG-100386,Vehículos,2025-01-31,2026-01-31,1198.15,36963.3,1000.0,Web Aseguradora,Zamora,Expirada
POL-682387,ASEG-100359,Hogar,2024-04-25,2025-04-25,1221.22,9366.5,2000.0,Web Aseguradora,Azogues,Expirada
POL-456604,ASEG-100034,Vehículos,2024-04-10,2025-04-10,968.74,51042.64,2000.0,Broker,Machala,Expirada
POL-139872,ASEG-100063,Vehículos,2024-11-07,2025-11-07,1220.71,37662.91,1000.0,Web Aseguradora,Zamora,Expirada
POL-354105,ASEG-100213,Vehículos,2025-02-09,2026-02-09,1238.62,91350.37,2000.0,Broker,Zamora,Expirada
POL-165485,ASEG-100142,Salud,2024-07-06,2025-07-06,1320.75,5108.54,2000.0,Web Aseguradora,Machala,Expirada
POL-515050,ASEG-100299,Vehículos,2024-01-31,2025-01-30,990.98,23387.09,500.0,Banca Seguros,Cuenca,Expirada
POL-795686,ASEG-100472,Vehículos,2024-04-05,2025-04-05,1398.51,11443.09,500.0,Agente Directo,Loja,Expirada
POL-395983,ASEG-100292,Vehículos,2024-07-03,2025-07-03,1355.08,11513.7,500.0,Banca Seguros,Cuenca,Expirada
POL-119513,ASEG-100011,Vehículos,2024-08-01,2025-08-01,1384.51,46754.25,1000.0,Banca Seguros,Azogues,Expirada
POL-217938,ASEG-100418,Vehículos,2025-02-03,2026-02-03,847.03,14057.63,500.0,Agente Directo,Cuenca,Expirada
POL-203914,ASEG-100013,Vehículos,2024-12-13,2025-12-13,1000.06,49476.04,1000.0,Web Aseguradora,Zamora,Expirada
POL-565157,ASEG-100121,Vehículos,2024-10-16,2025-10-16,1046.71,25417.8,1000.0,Agente Directo,Loja,Expirada
POL-904191,ASEG-100066,Vehículos,2024-01-06,2025-01-05,1158.03,14013.03,500.0,Agente Directo,Zamora,Expirada
POL-419510,ASEG-100118,Vehículos,2024-10-20,2025-10-20,1372.27,28339.02,1000.0,Banca Seguros,Azogues,Expirada
POL-575000,ASEG-100196,Vehículos,2024-10-15,2025-10-15,1053.04,47223.49,1000.0,Broker,Machala,Expirada
POL-120485,ASEG-100198,Vehículos,2024-05-05,2025-05-05,1275.39,37132.48,1000.0,Agente Directo,Cuenca,Expirada
POL-781181,ASEG-100428,Salud,2025-01-23,2026-01-23,1402.75,1890.64,2000.0,Agente Directo,Zamora,Expirada
POL-299796,ASEG-100160,Vehículos,2024-09-09,2025-09-09,1344.36,12763.83,500.0,Banca Seguros,Loja,Expirada
POL-589749,ASEG-100031,Vehículos,2024-07-31,2025-07-31,1197.71,31140.78,1000.0,Banca Seguros,Cuenca,Expirada
POL-854021,ASEG-100167,Vehículos,2024-07-11,2025-07-11,1203.24,17661.94,500.0,Web Aseguradora,Zamora,Expirada
POL-454086,ASEG-100195,Hogar,2024-04-25,2025-04-25,1152.4,56973.36,1000.0,Agente Directo,Azogues,Expirada
POL-139484,ASEG-100266,Vehículos,2024-09-21,2025-09-21,1142.62,66700.45,2000.0,Banca Seguros,Azogues,Expirada
POL-678849,ASEG-100039,Vehículos,2024-09-15,2025-09-15,1332.07,30247.15,1000.0,Agente Directo,Loja,Expirada
POL-346940,ASEG-100294,Vehículos,2024-05-16,2025-05-16,1166.54,23971.33,1000.0,Banca Seguros,Machala,Expirada
POL-985436,ASEG-100055,Vehículos,2024-05-05,2025-05-05,1495.06,24049.32,500.0,Agente Directo,Azogues,Expirada
POL-237418,ASEG-100345,Vehículos,2024-06-26,2025-06-26,1337.92,37394.85,1000.0,Banca Seguros,Zamora,Expirada
POL-335780,ASEG-100488,Vehículos,2024-08-20,2025-08-20,1587.96,79986.02,2000.0,Broker,Zamora,Expirada
POL-491392,ASEG-100189,Vehículos,2024-06-27,2025-06-27,1362.29,23493.88,1000.0,Web Aseguradora,Loja,Expirada
POL-140880,ASEG-100259,Salud,2024-08-26,2025-08-26,1448.84,3907.81,500.0,Agente Directo,Zamora,Expirada
POL-962591,ASEG-100446,Vehículos,2024-08-05,2025-08-05,1241.97,66059.13,2000.0,Banca Seguros,Zamora,Expirada
POL-922565,ASEG-100214,Vehículos,2024-09-14,2025-09-14,1124.6,18151.2,500.0,Web Aseguradora,Zamora,Expirada
POL-288580,ASEG-100496,Vehículos,2025-02-22,2026-02-22,1079.92,52906.37,2000.0,Banca Seguros,Machala,Expirada
POL-154280,ASEG-100248,Vehículos,2024-07-19,2025-07-19,1447.78,36193.02,1000.0,Agente Directo,Loja,Expirada
POL-425973,ASEG-100032,Vehículos,2024-08-04,2025-08-04,1229.16,21000.02,500.0,Agente Directo,Zamora,Expirada
POL-477177,ASEG-100203,Vehículos,2024-08-27,2025-08-27,1226.49,28099.96,1000.0,Agente Directo,Machala,Expirada
POL-648509,ASEG-100007,Vehículos,2024-11-16,2025-11-16,897.89,98155.74,2000.0,Banca Seguros,Cuenca,Expirada
POL-914815,ASEG-100495,Vehículos,2024-04-17,2025-04-17,1706.79,11624.56,500.0,Broker,Zamora,Expirada
POL-249048,ASEG-100189,Vehículos,2024-07-18,2025-07-18,1254.18,45142.11,1000.0,Broker,Loja,Expirada
POL-144323,ASEG-100379,Vehículos,2024-08-08,2025-08-08,885.08,13536.09,500.0,Banca Seguros,Azogues,Expirada
POL-651861,ASEG-100217,Vehículos,2024-12-31,2025-12-31,1046.58,17868.84,500.0,Broker,Machala,Expirada
POL-125324,ASEG-100060,Salud,2024-07-25,2025-07-25,1712.68,3196.4,2000.0,Web Aseguradora,Zamora,Expirada
POL-398102,ASEG-100107,Vehículos,2024-10-02,2025-10-02,1097.71,72263.89,2000.0,Web Aseguradora,Cuenca,Expirada
POL-514065,ASEG-100080,Vehículos,2024-07-07,2025-07-07,1363.77,13821.24,500.0,Broker,Loja,Expirada
POL-391652,ASEG-100143,Vehículos,2024-06-12,2025-06-12,1382.88,22050.31,500.0,Broker,Zamora,Expirada
POL-922167,ASEG-100167,Vehículos,2024-08-18,2025-08-18,1141.35,48364.7,1000.0,Web Aseguradora,Zamora,Expirada
POL-442795,ASEG-100355,Vehículos,2024-11-08,2025-11-08,1054.83,21214.43,500.0,Agente Directo,Loja,Expirada
POL-226330,ASEG-100471,Vehículos,2025-01-12,2026-01-12,1057.77,91791.12,2000.0,Banca Seguros,Machala,Expirada
POL-134430,ASEG-100383,Vehículos,2025-01-19,2026-01-19,1488.02,43739.53,2000.0,Agente Directo,Loja,Expirada
POL-524230,ASEG-100170,Vehículos,2024-07-12,2025-07-12,920.3,16138.77,500.0,Agente Directo,Cuenca,Expirada
POL-438817,ASEG-100093,Vehículos,2025-01-19,2026-01-19,986.53,45937.58,1000.0,Broker,Loja,Expirada
POL-293794,ASEG-100142,Vehículos,2024-06-25,2025-06-25,1440.68,60931.55,2000.0,Banca Seguros,Machala,Expirada
POL-868283,ASEG-100275,Vehículos,2024-08-02,2025-08-02,1086.21,26321.66,1000.0,Broker,Machala,Expirada
POL-828890,ASEG-100337,Salud,2024-07-12,2025-07-12,1367.68,1719.77,2000.0,Agente Directo,Loja,Expirada
POL-882920,ASEG-100171,Vehículos,2024-09-11,2025-09-11,1215.85,34207.16,1000.0,Broker,Azogues,Expirada
POL-918777,ASEG-100347,Vehículos,2024-09-28,2025-09-28,1191.19,58034.97,2000.0,Broker,Zamora,Expirada
POL-212580,ASEG-100496,Vehículos,2024-07-25,2025-07-25,1594.45,33096.47,1000.0,Broker,Machala,Expirada
POL-602410,ASEG-100081,Vehículos,2024-05-14,2025-05-14,1463.07,44299.41,2000.0,Banca Seguros,Machala,Expirada
POL-976971,ASEG-100312,Vehículos,2024-11-16,2025-11-16,1734.09,14666.38,500.0,Banca Seguros,Cuenca,Expirada
POL-630226,ASEG-100203,Vehículos,2024-11-17,2025-11-17,1411.43,17292.09,500.0,Banca Seguros,Machala,Expirada
POL-171254,ASEG-100379,Vehículos,2024-04-13,2025-04-13,1512.58,40417.4,2000.0,Web Aseguradora,Azogues,Expirada
POL-247116,ASEG-100024,Hogar,2024-11-14,2025-11-14,1153.35,53593.77,2000.0,Web Aseguradora,Loja,Expirada
POL-505969,ASEG-100136,Vehículos,2024-07-12,2025-07-12,1722.95,11890.82,500.0,Broker,Loja,Expirada
POL-653864,ASEG-100352,Vehículos,2024-12-11,2025-12-11,1281.07,41343.01,2000.0,Web Aseguradora,Cuenca,Expirada
POL-586367,ASEG-100133,Vehículos,2025-01-03,2026-01-03,1011.92,20173.12,500.0,Web Aseguradora,Azogues,Expirada
POL-896890,ASEG-100336,Salud,2024-08-04,2025-08-04,1042.26,525.58,2000.0,Web Aseguradora,Cuenca,Expirada
POL-650026,ASEG-100168,Vehículos,2024-04-13,2025-04-13,1235.1,10484.0,500.0,Agente Directo,Loja,Expirada
POL-547744,ASEG-100382,Vehículos,2024-06-14,2025-06-14,768.91,95270.58,2000.0,Broker,Loja,Expirada
POL-598124,ASEG-100281,Vehículos,2024-07-08,2025-07-08,1301.72,13376.49,500.0,Banca Seguros,Zamora,Expirada
POL-436126,ASEG-100473,Vehículos,2024-12-20,2025-12-20,1451.54,12078.58,500.0,Agente Directo,Machala,Expirada
POL-739447,ASEG-100312,Vehículos,2024-11-11,2025-11-11,767.14,12628.16,500.0,Broker,Cuenca,Expirada
POL-427484,ASEG-100105,Vehículos,2024-09-13,2025-09-13,1620.89,67732.73,2000.0,Agente Directo,Loja,Expirada
POL-218684,ASEG-100441,Vehículos,2024-08-07,2025-08-07,1048.46,63903.8,2000.0,Agente Directo,Machala,Expirada
POL-565564,ASEG-100403,Vehículos,2024-08-25,2025-08-25,1538.26,29900.77,1000.0,Agente Directo,Azogues,Expirada
